TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
IGTI3;3,19;3,59;22,14;2,11;0,51;52,83;46,37;23,03;11,00;20,41;5,74;1,10;5,10;2,56;-0,68;5,31;9,51;2,31;2,46;0,24;0,52;0,10;1,23;;2.448.909,58;1,51;0,14;0,28;4.949.403.222,20
IGTI4;0,00;;0,00;0,00;0,00;52,83;46,37;23,03;0,00;20,41;5,74;1,10;0,00;0,00;0,00;5,31;9,51;2,31;2,46;0,24;0,52;0,10;1,23;;;1,51;0,14;0,00;4.949.403.222,20
INEP3;1,37;;-0,82;-0,09;0,16;-75,54;-2.898,24;-8.030,76;-2,26;-10,36;-8,11;;65,64;-0,11;-0,18;0,05;-11,39;-19,64;8,23;-1,72;2,72;0,00;-55,72;;1.270.646,39;-14,71;-1,68;0,02;237.120.449,90
INEP4;1,33;;-0,79;-0,09;0,16;-75,54;-2.898,24;-8.030,76;-2,20;-10,36;-8,11;;63,72;-0,10;-0,17;0,05;-11,39;-19,64;8,23;-1,72;2,72;0,00;-55,72;;1.001.540,47;-14,71;-1,68;0,02;237.120.449,90
INNT3;0,00;;0,00;0,00;0,00;20,84;3,20;-2,40;0,00;13,08;13,08;2,50;0,00;0,00;0,00;1,37;-14,32;-1,25;1,92;0,09;0,91;0,52;37,50;;;0,79;-0,11;0,00;0,00
INTB3;26,72;0,62;18,56;4,76;2,78;28,68;14,43;16,51;21,23;19,80;-1,33;-0,30;3,06;5,44;-14,94;2,68;25,66;14,95;17,74;0,58;0,41;0,91;;;26.309.734,36;5,60;1,44;0,13;8.694.798.859,40
IRBR3;3,17;;-4,31;1,00;0,17;-14,11;-18,50;-11,39;-2,65;-2,66;;;0,49;-1,36;-0,47;0,84;-23,15;-3,90;;0,17;0,83;0,34;17,75;;47.065.609,97;3,18;-0,74;-0,10;4.031.891.255,76
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;9,58;5,29;7,20;1,35;1,04;34,52;169,55;150,31;6,38;6,67;0,32;0,07;10,82;29,80;-1,15;1,59;18,76;14,50;16,89;0,77;0,18;0,10;3,78;5,78;1.557.288,17;7,09;1,33;0,10;84.052.311.747,45
ITSA4;9,44;5,36;7,11;1,33;1,03;34,52;169,55;150,31;6,31;6,67;0,32;0,07;10,69;29,46;-1,14;1,59;18,76;14,50;16,89;0,77;0,18;0,10;3,78;5,78;243.207.955,75;7,09;1,33;0,10;84.052.311.747,45
